ID	Target	Tweet	Veracity
100001	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/jI0F4ly0lh"	UNKNOWN
100002	BostonBombings	One of the dead was a little boy who'd just run out to hug his dad, who'd just finished the marathon. His mom lost her legs. #boston	UNKNOWN
100003	BostonBombings	A 5 year old boy dies waiting to see his dad finish the marathon - just awful!! #Boston	UNKNOWN
100004	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/ZmTdHzbZ1E	UNKNOWN
100005	BostonBombings	Family Guy: Boston Marathon Bombing http://t.co/LZ3ShBD4Du	UNKNOWN
100006	BostonBombings	THE WESTBORO BAPTIST CHURCH IS PLANNING TO PICKET THE FUNERALS OF THOSE THAT DIED IN THE BOSTON BOMBING YOU'RE A PIECE OF SHIT	UNKNOWN
100007	BostonBombings	Westboro Baptist Church picketing the funerals of the Boston victims, saying God sent the bombs as revenge against gay marriage. Im furious.	UNKNOWN
100008	BostonBombings	The 8 year old boy who tragically lost his life in Boston yesterday has been named as Martin Richard, who was there to watch his dad run.	UNKNOWN
100009	BostonBombings	An 8 year old boy died today at the hospital due to the Boston explosions. The boy was waiting for his dad to finish the marathon.	UNKNOWN
100010	BostonBombings	Little girl who died in Boston's explosions, while running for Sandy Hook kids #PrayForBoston http://t.co/yNBuXjWACJ"	UNKNOWN
100011	BostonBombings	The little 8 year old boy who died was waiting for his dad at the finish line omg :'(( #prayforboston	UNKNOWN
100012	BostonBombings	The 8yo boy killed in the Boston bomb blasts was waiting for his dad to finish the marathon. His mum &amp; sister are critical. #NewsRoom	UNKNOWN
100013	BostonBombings	R.I.P. to the 8 yearold girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/0Qr6Jyk5BJ	UNKNOWN
100014	BostonBombings	BOSTON BOMBINGS: boy who was killed hugged his father who just finished the race then rejoined his mom on the sidewalk. then the explosion.	UNKNOWN
100015	BostonBombings	#R.I.P to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids #prayforboston http://t.co/yPyNkvuF1q	UNKNOWN
100016	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/oCmhAsUSUf	UNKNOWN
100017	BostonBombings	An 8 year old boy who was cheering his dad died today in Boston. #heartbreak #hinews	UNKNOWN
100018	BostonBombings	RT @HopeForBoston: R.I.P. to the 8 year-old boy who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http:	UNKNOWN
100019	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/Sz8Kwv9bj2	UNKNOWN
100020	BostonBombings	An 8 year old boy, Martin Richard, was killed at the Boston Marathon as he waited to give his father a hug at the finish line #prayforboston	UNKNOWN
100021	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/XYUmDAAxTR	UNKNOWN
100022	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids.  #prayforboston http://t.co/EkQ6DTs3db	UNKNOWN
100023	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/RPEWvZULCW	UNKNOWN
100024	BostonBombings	8 year-old killed at the explosion at the #BostonMarathon has been identified as Martin Richard. http://t.co/4Nqbh2d0jc via @JenelleS_KVUE	UNKNOWN
100025	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/cEdmDu7EoO	UNKNOWN
100026	BostonBombings	An 8 year old kid died while waiting for his dad to finish the race and to hug him. #prayforboston #bostonmarathonbombing	UNKNOWN
100027	BostonBombings	Boy, 8, killed in Boston marathon blast was waiting to meet his dad when he finished #JuiceFM	UNKNOWN
100028	BostonBombings	Poor kid .. RT @ICE__Gang: #prayforboston An 8 year old kid died while waiting for his dad to finish the race and to hug him :"""(	UNKNOWN
100029	BostonBombings	R.I.P. to 8 year-old boy who died in Boston's explosions, while running for the Sandy Hook kids. http://t.co/zDyC5VZwQO via @HopeForBoston	UNKNOWN
100030	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. Tragic moment http://t.co/qzLfYs8piU	UNKNOWN
100031	BostonBombings	8 yr old boy who went to receive his dad at finishing line in Boston killed by bomb. His little sisters limbs blown off via BBC	UNKNOWN
100032	BostonBombings	R.I.P. to the 8 yr old boy who died in Boston's explosions, while running for the Sandy Hook kids. #PrayForBoston http://t.co/5Dav0lauxn	UNKNOWN
100033	BostonBombings	“@DanielleFacts: 8 yr old boy who died in Boston's explosions, running for the Sandy Hook kids. #PrayForBoston http://t.co/zGngVQCjsm” FAKE	UNKNOWN
100034	BostonBombings	Westboro BC vows to picket the funerals of those killed at Boston Marathon. @YourAnonNews responds immediately http://t.co/6gcc08sI5A	UNKNOWN
100035	BostonBombings	Westboro Baptist Church Plans To Picket Funerals Of Boston Marathon Victims http://t.co/oNMilfqKaI #OpWBC b/c @dearshirley is still	UNKNOWN
100036	BostonBombings	R.I.P. to the 8 year old girl who died in the Boston explosion while running for the Sandy Hook kids #prayforboston http://t.co/mg1Aob6TTZ	UNKNOWN
100037	BostonBombings	R.I.P. to the 8 year-old boy who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/7rKs3A0OuV”	UNKNOWN
100038	BostonBombings	Westboro Baptist Church to picket funerals of victims of the Boston Marathon http://t.co/gk6p7nFKCy via @examinercom	UNKNOWN
100039	BostonBombings	An 8 year old girl died yesterday in the Boston bombing, she was running for sandy hook kids... What is humanity coming too. #PrayForBoston	UNKNOWN
100040	BostonBombings	Professional trolls, the Westboro Baptist Church, have announced they'll be picketing the funerals of the 3 killed in the Boston attacks.	UNKNOWN
100041	BostonBombings	Suspected Boston bomber has the same rights as any American even though he's here on a student visa. There is something really wrong here...	UNKNOWN
100042	BostonBombings	Boston Globe reporting that the mom &amp; sister of the 8-yr-old boy killed, Martin Richard, are also badly injured. #Prayers	UNKNOWN
100043	BostonBombings	Heartbreaking reports: 8 yo Martin Richard killed in Boston. Mom has brain injury, sister lost a leg. Dad was racing http://t.co/AoMYZTP1mR	UNKNOWN
100044	BostonBombings	One 8-year Old kid was Dead during Boston Attack! He came to see his father run for the Marathon. Gaves his father a Hug &amp; Dies :(	UNKNOWN
100045	BostonBombings	Mother of Martin Richard, 8 yr old boy killed in the blasts has a brain injury; boy's sister has lost a leg. #PrayForBoston	UNKNOWN
100046	BostonBombings	RT @fuccyoudis2o9: R.I.P to the 8 year old girl who died in Boston's explosions, while running for Sandy Hook kids &gt;:/ #PrayForBoston...	UNKNOWN
100047	BostonBombings	“@lovebrittannny: R.I.P. to the 8 year-old girl who died in Boston's explosions while running for the Sandy Hook kids.http://t.co/BTt4MfncW3	UNKNOWN
100048	BostonBombings	Boston- Martin Richard 8 killed at the Marathon, he loved sports. His Mom has a brain injury, sister lost a leg. http://t.co/LnYsbxju80	UNKNOWN
100049	BostonBombings	:( The 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/FNOadBu3YD"	UNKNOWN
100050	BostonBombings	8 year old #BostonMarathon victim, Martin Richard, was killed while waiting to hug his dad at the finish line. http://t.co/OL1isq0wbH	UNKNOWN
100051	BostonBombings	8yr old boy who was killed in blast was on the sidelines, waiting to greet his dad when he crossed the finish line. #heartbreaking #Boston	UNKNOWN
100052	BostonBombings	THANK GOD FOR THE BOSTON MARATHON BOMBS!! Westboro Baptist Church to picket funerals of those killed. #PraiseGod &gt;&gt; http://t.co/B5WzUIbomH	UNKNOWN
100053	BostonBombings	Danny Amendola donating $100 per catch and $200 per drop to Boston Marathon relief.   Gotta respect that.	UNKNOWN
100054	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/ootIXIuizd	UNKNOWN
100055	BostonBombings	The Westboro Baptist Church plan on picketing the funerals of the victims of the Boston Marathon bombings. So who's going with me to Boston?	UNKNOWN
100056	BostonBombings	Westboro Baptist Church threatens to picket funerals of those slain at the Boston Marathon  http://t.co/GlqQ5xKBTV	UNKNOWN
100057	BostonBombings	Martin Richard, the 8 year old boy killed in the Boston bombings was waiting to hug his father at the finish line http://t.co/vURaeNg4Lo	UNKNOWN
100058	BostonBombings	No disrespect, but the 8 year old who died in the Boston bombing yesterday was a boy who was watching his dad. Yes, a boy, not a girl.	UNKNOWN
100059	BostonBombings	"@fvmouslife: "RIP to the 8 year old girl who died in Boston's explosions, while running for the Sandy Hook kids." It was a boy	UNKNOWN
100060	BostonBombings	. @MassGovernor: Only two explosive devices found. #Boston	UNKNOWN
100061	BostonBombings	RT R.I.P. to the 8 yr old boy who died in Boston's explosions, while running for the Sandy Hook kids. #PrayForBoston http://t.co/HJwqByatGd”	UNKNOWN
100062	BostonBombings	R.I.P. the 8 year old boy who died in Boston's explosions, while running for the Sandy Hook kids. #PrayForBoston http://t.co/IZLDbCyfnb	UNKNOWN
100063	BostonBombings	Google rolls out Person Finder for those affected by Boston Marathon explosions http://t.co/S1ZKrm4f1K	UNKNOWN
100064	BostonBombings	#Boston latest: "No one is in custody" http://t.co/brccOc2fUM	UNKNOWN
100065	BostonBombings	One of the people who died in Boston was an 8 year old boy, who was at the finish line waiting for his dad. 😔	UNKNOWN
100066	BostonBombings	Just seen 8 year old Martin Richard was waiting for his dad to finish the marathon when his life was stolen from him! #prayforboston	UNKNOWN
100067	BostonBombings	Westboro Baptist Church threatens to picket funerals of Boston bombing victims http://t.co/FRoAIryVbe	UNKNOWN
100068	BostonBombings	Please. STOP. RT @HuffPostPol: Westboro Baptist Church threatens to picket funerals of Boston bombing victims http://t.co/1514UquBSN	UNKNOWN
100069	BostonBombings	#Boston surgeon says bombs carried extra punch: metal shards, nails: “They were in the bombs.” Some victims hit with up to 40 shards.	UNKNOWN
100070	BostonBombings	#Westboro Baptist Church plans to picket funerals of #Boston bombing victims, by @MsJamilaAisha: http://t.co/5PjJXS2XD1	UNKNOWN
100071	BostonBombings	Westboro Baptist Church Threatens To Picket Funerals Of Those Killed In Boston Marathon Explosions http://t.co/oUzo8afYg1 via @zite GO AWAY!	UNKNOWN
100072	BostonBombings	R.I.P. the 8 year old boy who died in Boston's explosions, while running for the Sandy Hook kids. #PrayForBoston http://t.co/SOJgzSxYKR	UNKNOWN
100073	BostonBombings	Caliss. Westboro Baptist Church Threatens To Picket Funerals Of Those Killed In Boston Marathon Explosions http://t.co/avba2jU0dS	UNKNOWN
100074	BostonBombings	Westboro Baptist Church threatens to picket funerals of those slain at the Boston Marathon via @globalpost - http://t.co/ItJgwsqEH9	UNKNOWN
100075	BostonBombings	Westboro Baptist Church threatens to picket funerals of those killed in Boston Marathon explosions http://t.co/ttMfJH7xiq	UNKNOWN
100076	BostonBombings	@BMS_Derek Westboro Baptist Church announces they will picket the funerals of the Boston Marathon victims	UNKNOWN
100077	BostonBombings	Westboro Baptist Church Plans to Picket Boston Marathon Funerals... http://t.co/98LE6fhSQG	UNKNOWN
100078	BostonBombings	The boy who died after waiting for his dad to finish the Boston Marathon. #PrayForBoston RIP http://t.co/DgRkqNwWtV	UNKNOWN
100079	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosion, while running for the Sandy Hook kids. #prayforboston http://t.co/8FsE57dtW7	UNKNOWN
100080	BostonBombings	http://t.co/VfcVWOlzXe  Westboro Baptist Church threatens to picket funerals of those slain at the Boston Marathon	UNKNOWN
100081	BostonBombings	8 yr old boy was killed yesterday in the Boston attack. His mom had brain surgery and his sibling lost a leg. Mercy.  #prayers4Boston	UNKNOWN
100082	BostonBombings	R.I.P. to the 8 year-old boy who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/auUkxsViOc"	UNKNOWN
100083	BostonBombings	Heartbreaking. 8 yr old Martin killed in #Boston attack while waiting for dad to finish run. http://t.co/F1qc4pkDtU http://t.co/FJwlljpkvy	UNKNOWN
100084	BostonBombings	#RIP - 8-Year-Old Boy Who Was Killed in Boston Bombings: He Was Waiting to Hug His Dad at the Finish Line http://t.co/EBzdqGzjwl	UNKNOWN
100085	BostonBombings	R.I.P. to the 8 yr old boy who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/lGdaQ0RDT3	UNKNOWN
100086	BostonBombings	So upsetting that an 8 year old boy died at the boston bombings, his sisters leg is being amputated and his mums having brain surgery ☹	UNKNOWN
100087	BostonBombings	Boston bombs were 6-liter pressure cookers placed in black duffel bags. They contained shards of metal, nails and... http://t.co/dLTlyKl7OH	UNKNOWN
100088	BostonBombings	Boston Marathon explosives were in 6-liter pressure cookers and placed in black duffel bags, person briefed on investigation says - @AP	UNKNOWN
100089	BostonBombings	Boston Marathon explosives were in 6-liter pressure cookers and placed in black duffel bags, person briefed on investigation says - @AP	UNKNOWN
100090	BostonBombings	TERROR ATTACK! BOSTON MARATHON BOMBS WERE IN 6-LITER PRESSURE COOKERS AND PLACED IN BLACK DUFFEL BAGS. AP. #911BUFF	UNKNOWN
100091	BostonBombings	Westboro Baptist Church to Picket Boston Marathon Funerals. http://t.co/QqZvrnbmIg	UNKNOWN
100092	BostonBombings	AP reports Boston "explosives were in 6-liter pressure cookers and placed in black duffel bags" on the ground	UNKNOWN
100093	BostonBombings	Westboro Baptist Church to picket funerals of Boston victims...Cunts	UNKNOWN
100094	BostonBombings	AP is reporting Boston bombs were in 6l pressure cookers containing metal &amp; ball bearings &amp; placed in black duffel bags.	UNKNOWN
100095	BostonBombings	westboro baptist church more like stopppppppppppppp http://t.co/YJ4U3NkjDR	UNKNOWN
100096	BostonBombings	MT @BreakingNews: Boston Marathon explosives were in 6-liter pressure cookers and placed in black duffel bags - @AP	UNKNOWN
100097	BostonBombings	Boston explosives were in pressure cookers, hidden in duffel bags http://t.co/CbsyLxMQN8	UNKNOWN
100098	BostonBombings	Terror at the Boston Marathon http://t.co/96E4yCJt8E #photojournalism	UNKNOWN
100099	BostonBombings	What a horrifying tragedy, my gosh.... There are no words. #PrayForBoston :( :( :( :(	UNKNOWN
100100	BostonBombings	I offer my deepest condolences to the families of the victims in Boston  #Boston	UNKNOWN
100101	BostonBombings	Are we ever going to rise above all of this violence on our planet? #prayforboston #prayforpeace	UNKNOWN
100102	BostonBombings	I got to know a lot of people in Boston when I was there Filming "that's my boy"during the Stanley Cup finals. great city, great people,	UNKNOWN
100103	BostonBombings	My thoughts are with everyone effected by today's tragedy in Boston. God Bless.	UNKNOWN
100104	BostonBombings	Before u all go 2 bed i really want 2 say huge THANK U! You made my 13th bday the best day ever! Reading all ur messages now! #PrayforBoston	UNKNOWN
100105	BostonBombings	Tonight, we all have Boston's back. #WeAreBoston http://t.co/2bI69vAN1H	UNKNOWN
100106	BostonBombings	I'm in Boston reporting for the Guardian. Can anyone help me reach #carlosarredondo to talk to him about his amazing act of bravery?	UNKNOWN
100107	BostonBombings	My thoughts are with everyone in Boston x	UNKNOWN
100108	BostonBombings	my heart hurts for all the sweet people injured in Boston today, and all I can do is pray and pray and pray and pray and pray some more.	UNKNOWN
100109	BostonBombings	@KerryWSB hope ur in bed!  #EarlyMorning #Boston #Prayers	UNKNOWN
100110	BostonBombings	Beautiful piece on the horrific tragedy.. http://t.co/eIdtMKocym	UNKNOWN
100111	BostonBombings	Sending love out to all our Twitter fam &amp; Boston fam once again - we love you guys so much	UNKNOWN
100112	BostonBombings	#prayforboston the world is so crazy these days.. #stopthecraziness #peace #love  Mikey😘	UNKNOWN
100113	BostonBombings	For Boston, and for hope. http://t.co/A4MimZbNDw	UNKNOWN
100114	BostonBombings	i love you BOSTON !!!&lt;33	UNKNOWN
100115	BostonBombings	My heart and prayers go out to Boston.	UNKNOWN
100116	BostonBombings	Praying for Boston tonight... and for all of the families in America.... http://t.co/2eSngrqIbe	UNKNOWN
100117	BostonBombings	Sending out love to #Boston - city of my birth.  You will be avenged.	UNKNOWN
100118	BostonBombings	Sending out prayers to everyone in Boston and our Blue Army. Deepest sympathies to those who lost family members n those with injuries.	UNKNOWN
100119	BostonBombings	#Boston I love you and I'm thinking of you.	UNKNOWN
100120	BostonBombings	Large police presence in Revere connected to Boston bombing http://t.co/GdqdelQ4jb #fox25	UNKNOWN
100121	BostonBombings	My heart goes out to the people of Boston today. Terrible terrible tragedy.	UNKNOWN
100122	BostonBombings	Two if by Sorrow: Boston and Its Losses http://t.co/PDSDiephEW	UNKNOWN
100123	BostonBombings	Im so sad for Boston.. I don't really know anyone that lives there.. but I'm just so sad	UNKNOWN
