ID	Target	Tweet	Veracity
1	BostonBombings	Two explosions at Boston marathon finish line	RUMOR
2	BostonBombings	2 explosions at Boston marathon finish line http://t.co/EILgHRLrSf	RUMOR
3	BostonBombings	#BOSTON SCANNER: Police now saying get on social media, tell people to stay away from JFK Library. #Bostonbomb LISTEN http://t.co/1PYPAVLwnE	RUMOR
4	BostonBombings	There's now a fire at the JFK Library. Jesus. http://t.co/qjlg9nd59c #bostonmarathon #boston http://t.co/HO1FQVCwjz	RUMOR
5	BostonBombings	HORROR EN BOSTON: Officials / There will be a controlled explosion opposite the library within one minute as part of bomb squad activities.	RUMOR
6	BostonBombings	Confirmed explosion at the JFK library - third explosion #Boston	RUMOR
7	BostonBombings	#BREAKING: 2 more explosives being dismantled at Boston Marathon http://t.co/AuYHZn3AQr	RUMOR
8	BostonBombings	MORE: US official: 2 more explosives found at Boston marathon: http://t.co/KBDxuuE4kQ -CC	RUMOR
9	BostonBombings	BREAKING: @AP reports 2 more explosive devices found at Boston Marathon, being dismantled http://t.co/YYi01uQqBJ	RUMOR
10	BostonBombings	Officials investigating Boston Marathon explosions report finding what they believe are unexploded devices: http://t.co/rCfe7P4JyR	RUMOR
11	BostonBombings	Boston police confirms another explosion at JFK Library #breaking	RUMOR
12	BostonBombings	RT @ReutersUS: Boston police confirms another explosion at JFK Library #breaking	RUMOR
13	BostonBombings	Boston police confirms another explosion at JFK Library	RUMOR
14	BostonBombings	RT @ReutersUS: Boston police confirms another explosion at JFK Library #breaking	RUMOR
15	BostonBombings	RT @reutersus: Boston police confirms another explosion at JFK Library #breaking	RUMOR
16	BostonBombings	Breaking: Boston police confirm another explosion at JFK Library http://t.co/GBXkQSsuzI	RUMOR
17	BostonBombings	Attn: Another explosion at the JFK Library. #Boston	RUMOR
18	BostonBombings	A fire broke out inside a mechanical room at the JFK Library on Moments after the Boston Marathon explosions but not related.	RUMOR
19	BostonBombings	Really? RT @ReutersUS: Boston police confirms another explosion at JFK Library #breaking	RUMOR
20	BostonBombings	RT @ReutersUS: Boston police confirms another explosion at JFK Library #breaking	RUMOR
21	BostonBombings	RT @ReutersUS: Boston police confirms another explosion at JFK Library #breaking	RUMOR
22	BostonBombings	RT @ReutersUS: Boston police confirms another explosion at JFK Library #breaking	RUMOR
23	BostonBombings	2 more explosive devices found by law enforcement at Boston Marathon. #prayforboston	RUMOR
24	BostonBombings	Reuters: #Boston police confirm third explosion at JFK library	RUMOR
25	BostonBombings	News: Boston police confirm another explosion at JFK Library. #prayforboston	RUMOR
26	BostonBombings	RT @ReutersUS: Boston police confirms another explosion at JFK Library #breaking	RUMOR
27	BostonBombings	UPDATE: 2 more explosive devices found at Boston Marathon; being dismantled by officials	RUMOR
28	BostonBombings	Boston police confirms another explosion at JFK Library. via @Reuters	RUMOR
29	BostonBombings	Boston Police confirm another explosion at JFK library: http://t.co/MX3q8YyPSs	RUMOR
30	BostonBombings	#Breaking  Two more explosive devices found at Boston Marathon; being  dismantled ... more at http://t.co/QjJo0bleXl	RUMOR
31	BostonBombings	Reports: Boston Marathon bombing suspect in custody? http://t.co/oPm6jZkE2M	RUMOR
32	BostonBombings	Boston police confirm another explosion at the JFK library. #boston	RUMOR
33	BostonBombings	Google has a person finder up for the #boston explosions http://t.co/Hmfg3yamvj	RUMOR
34	BostonBombings	Ed Davis, Boston Police Commissioner: There has been a third incident. An explosion at the JFK library. This is ongoing event.	RUMOR
35	BostonBombings	Boston Police say third incident: explosion at JFK Library.	RUMOR
36	BostonBombings	Boston police confirm 3rd explosion at JFK Library #BreakingNews	RUMOR
37	BostonBombings	There's now a fire at JFK library in #boston.  http://t.co/j1lUn9BYlD http://t.co/JU3tpDKo1q	RUMOR
38	BostonBombings	BREAKING: Third explosion reported at the JFK Library #Boston	RUMOR
39	BostonBombings	BOSTON POLICE CONFIRMS EXPLOSION AT JFK LIBRARY	RUMOR
40	BostonBombings	#Boston police commissioner: THIRD explosion at #JFK Library  #USA	RUMOR
41	BostonBombings	Looks like another bomb went off at JFK library in Boston	RUMOR
42	BostonBombings	Ed Davis, Boston Police Commissioner, confirms there was a third explosion at JFK Library.  http://t.co/qvOQPD1KNG	RUMOR
43	BostonBombings	Boston Police Commissioner: 3rd blast confirmed at JFK Library. #prayforboston	RUMOR
44	BostonBombings	BREAKING: Boston police commissioner: 3rd explosion at JFK Library	RUMOR
45	BostonBombings	Google created a person finder in the aftermath of #BostonMarathon explosions: http://t.co/rgLJY1rEh2	RUMOR
46	BostonBombings	AP: Cell phone service has been shut down in Boston to prevent any remote detonation.	RUMOR
47	BostonBombings	Third Explosion in Boston reported at JFK library.	RUMOR
48	BostonBombings	Wow. Boston police commissioner confirms a 3rd explosion at JFK Library	RUMOR
49	BostonBombings	Boston police commissioner: 3rd explosion at JFK Library. (via @ap) #BostonMarathon	RUMOR
50	BostonBombings	Google has launched a "people finder" to assist people affected by the Boston explosions. #cbc http://t.co/P7ncYR2nnQ	RUMOR
51	BostonBombings	BREAKING: Boston police commissioner: 3rd explosion at JFK Library, AP reports #bostonmarathon	RUMOR
52	BostonBombings	Boston police commissioner confirms third explosion at JFK Library; unclear whether related to Boston Marathon http://t.co/aaXwyCHk3A	RUMOR
53	BostonBombings	NewsAlert: Boston police commissioner: 3rd explosion at #Boston JFK Library (from @AP)	RUMOR
54	BostonBombings	Boston Marathon bombing suspect believed to be in custody http://t.co/3rBuwAnMiV	RUMOR
55	BostonBombings	BREAKING: Boston police commissioner: 3rd explosion at JFK Library / via #AP	RUMOR
56	BostonBombings	BREAKING: Boston police commissioner: 3rd explosion at JFK Library / via #AP	RUMOR
57	BostonBombings	Boston police commissioner says he believes 3rd blast at JFK Library is related to marathon explosions. Next briefing at 7 p.m.	RUMOR
58	BostonBombings	“@AWilsonABC11: Boston police commissioner: "There has been a 3rd explosion at JFK Library." #ABC11 http://t.co/qdVFGQYnxY”	RUMOR
59	BostonBombings	(AP) -- Boston police commissioner: 3rd explosion at JFK Library.	RUMOR
60	BostonBombings	Boston police report explosion at JFK library http://t.co/BhW3lzI7Ag	RUMOR
61	BostonBombings	3rd explosion in #Boston, this time at JFK Library. http://t.co/myEqEdiTUp	RUMOR
62	BostonBombings	Google have created a people finder for the #Boston explosions, leave messages for friends and family http://t.co/Jnepm9brAW	RUMOR
63	BostonBombings	Breaking: Boston police commissioner: 3rd explosion at JFK Library  http://t.co/EHpOeRNgcZ	RUMOR
64	BostonBombings	Boston police commissioner: 3rd explosion at JFK Library  http://t.co/q1hDDyJBdx	RUMOR
65	BostonBombings	Google has created a person finder for the Boston Marathon http://t.co/kd2yh52pjM	RUMOR
66	BostonBombings	Google has released a tool to help locate people affected by the Boston Marathon explosions http://t.co/R4X6pymugw	RUMOR
67	BostonBombings	Google has set up a person finder after #BostonMarathon explosions http://t.co/bgK4QDM4zJ	RUMOR
68	BostonBombings	Boston Police confirm a 3rd explosion at the JFK Library! http://t.co/XqAH5FEdrY #bostonmarathon	RUMOR
69	BostonBombings	Google has created a person finder for the Boston Marathon Explosions.  http://t.co/ONkvdBmV7r	RUMOR
70	BostonBombings	NBC News: Boston Police Commissioner confirms 3rd explosion at JFK Library in Boston #BostonMarathon	RUMOR
71	BostonBombings	.@WRKO680: Boston Police: No one injured at third explosion at JFK Library. #BostonBombing	RUMOR
72	BostonBombings	Google rolls out Person Finder for those affected by Boston Marathon explosions http://t.co/S26qrQC5Zm	RUMOR
73	BostonBombings	RT @BreakingNews: Google rolls out Person Finder for those affected by Boston Marathon explosions http://t.co/FqpWHrLPWJ	RUMOR
74	BostonBombings	@SailiPardeshi @nuaym_akbar 2 bombs have gone off at the Boston marathon	RUMOR
75	BostonBombings	#prayforboston a third bomb has gone off at the JFK library	RUMOR
76	BostonBombings	BREAKING: Westboro Baptist Church to picket funerals of those dead by Boston Bombs! GOD SENT THE BOMBS IN FURY OVER FAG MARRIAGE! #PraiseGod	RUMOR
77	BostonBombings	Google has created a Person Finder for those affected by the #BostonMarathon explosions. http://t.co/2AH3ysDJEh	RUMOR
78	BostonBombings	Boston police: 3rd explosion reported at library following marathon http://t.co/K5IAsjMd1s	RUMOR
79	BostonBombings	Google has created a Person Finder for the Boston Marathon Explosions http://t.co/nl2CVgW3Qj	RUMOR
80	BostonBombings	Boston Police Commissioner: Third incident, explosion that occurred at the JFK library, confirmed. http://t.co/xzodf0GPKG	RUMOR
81	BostonBombings	Google has created a people finder for the #BostonMarathon explosions. Check for loved ones here: http://t.co/IRPCSFk7Qp	RUMOR
82	BostonBombings	Google releases Person Finder tool for those affected by Boston Marathon explosions http://t.co/5IOLxIBLC0	RUMOR
83	BostonBombings	Google just created this PERSON FINDER tool for those affected by the #BostonMarathon today. http://t.co/AXqRTYOLDV	RUMOR
84	BostonBombings	Video: Boston police: Third explosion at library http://t.co/YrtBH35TrH	RUMOR
85	BostonBombings	Intelligence Officials Report Two More Explosive Devices Found At Boston Marathon http://t.co/5L3Eq9XbCD	RUMOR
86	BostonBombings	Jesus... MT @WBCSays Westboro Baptist Church to picket funerals of those dead by Boston Bombs! GOD SENT THE BOMBS IN FURY OVER FAG MARRIAGE!	RUMOR
87	BostonBombings	Boston Police Commissioner Ed Davis reporting fire at JFK Library not related to Boston Marathon explosion.	RUMOR
88	BostonBombings	8 yr old child one of the dead ! #boston	RUMOR
89	BostonBombings	Video: Boston police: Third explosion at Library http://t.co/ikl6yEfBVk	RUMOR
90	BostonBombings	A 8 year old child one of the dead , my daughter is 8 years old this makes me sick to my stomach #boston	RUMOR
91	BostonBombings	i'm getting teary eyed... an 8 year old boy was one of the two people who've been confirmed dead... #prayforboston	RUMOR
92	BostonBombings	Google has launched a #BostonMarathon people finder for those worried about loved ones Spread the word http://t.co/pveSNFnGM0 #prayforboston	RUMOR
93	BostonBombings	The sick get sicker, @WBCFliers Westboro Baptist Church to picket funerals of those dead by Boston Bombs. Somebody stop these cowards.	RUMOR
94	BostonBombings	An 8 year old kid is dead from the bomb in Boston. He was waiting for his mom and dad to finish 😞	RUMOR
95	BostonBombings	Try it. I dare you. RT @WBCSays: BREAKING: Westboro Baptist Church to picket funerals of those dead by Boston Bombs!	RUMOR
96	BostonBombings	THAT 8 YEAR OLD GIRL IS NOT DEAD. THAT IS A SICK AND TWISTED RUMOR. THE ONLY DEATH WE KNOW IS AN 8 YEAR OLD BOY TRUST ME I LIVE IN BOSTON	RUMOR
97	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/DHEvhJb8fv	RUMOR
98	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/vCFuEijzN1	RUMOR
99	BostonBombings	RIP to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/yhDyrk8nOX	RUMOR
100	BostonBombings	R.I.P. 8 year-old girl died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/LwaRXXMRhk" &lt;/3”	RUMOR
101	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/lQR0rgLEQj	RUMOR
102	BostonBombings	Disgusting.. RT @WBCSays Westboro Baptist Church to picket funerals of those dead by Boston Bombs! GOD SENT BOMBS IN FURY OVER FAG MARRIAGE!	RUMOR
103	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/TrngKLcaoH	RUMOR
104	BostonBombings	My heart is breaking! :-( RT RIP to d 8yr old girl who died in Boston explosions, while running for d Sandy Hook kids http://t.co/OoAusFML9Z	RUMOR
105	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/epNz15KzhQ	RUMOR
106	BostonBombings	RT R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids.  http://t.co/wrh8rL8FFA	RUMOR
107	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/eNkHOOwbaT	RUMOR
108	BostonBombings	R.I.P to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. Omg Im crying http://t.co/FPz0tAdi5j	RUMOR
109	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/F7RruzXakl	RUMOR
110	BostonBombings	"@HopeForBoston: R.I.P. to 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. http://t.co/akYI1CYGYx"	RUMOR
111	BostonBombings	The 8 year old girl that died today in the Boston marathon bombing was running for the kids of sandy hook. That's fucking disgusting!	RUMOR
112	BostonBombings	Breaking: Officials found what they believe are five additional, undetonated explosive devices in Boston area.  http://t.co/EHpOeRNgcZ	RUMOR
113	BostonBombings	Officials found what they believe are five additional, undetonated explosive devices in Boston area.  http://t.co/q1hDDyJBdx	RUMOR
114	BostonBombings	RT @wsj: Breaking: Officials found what they believe are 5 additional, undetonated explosive devices in Boston area.  http://t.co/yERBxEUQLp	RUMOR
115	BostonBombings	WSJ: Officials found what they believe are five additional, undetonated explosive devices in Boston area.	RUMOR
116	BostonBombings	RT @WSJ: Officials found what they believe are five additional, undetonated explosive devices in Boston area. http://t.co/8vHzSqbyq4	RUMOR
117	BostonBombings	RT @BuzzFeedNews: WSJ: Officials found what they believe are five additional, undetonated explosive devices in Boston area.	RUMOR
118	BostonBombings	BREAKING: Officials found what they believe are five additional, undetonated explosive devices in Boston http://t.co/0YgwH7BAJX	RUMOR
119	BostonBombings	Officials believe they have found five additional, undetonated explosive devices in the Boston area.	RUMOR
120	BostonBombings	RT @WSJ Officials found what they believe are five additional, undetonated explosive devices in Boston area.  http://t.co/PedaKfMAoq	RUMOR
121	BostonBombings	RT @wsjbreakingnews: Officials found what they believe are 5 additional, undetonated explosives in Boston area.  http://t.co/dKDtGsvpbf	RUMOR
122	BostonBombings	MT @WSJbreakingnews Officials found what they believe are 5 add'l undetonated explosive devices in Boston area.  http://t.co/fXtTsHY8cn	RUMOR
123	BostonBombings	Authorities find five additional, undetonated explosive devices in Boston: @WSJ	RUMOR
124	BostonBombings	RT @WSJ: Breaking: Officials found what they believe are 5 additional, undetonated explosive devices in Boston area.	RUMOR
125	BostonBombings	RT @WSJ Breaking: Officials found what they believe are 5 additional, undetonated explosive devices in Boston area http://t.co/JXvLhin6Lt	RUMOR
126	BostonBombings	#BreakingUpdate RT @wsjbreakingnews: Officials found what they believe are five additional, undetonated explosive devices in Boston area....	RUMOR
127	BostonBombings	@WSJ reporting officials found what they believe are five additional, undetonated explosive devices in Boston area.  http://t.co/PnO8NR082z	RUMOR
128	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions while running for the Sandy Hook kids. #prayforboston http://t.co/yiTw4WUc8Z 😔	RUMOR
129	BostonBombings	"...officials found what they believe to be five additional, undetonated explosive devices around the Boston area" http://t.co/TwB7iJnDJP	RUMOR
130	BostonBombings	RT @WSJ Officials found what they believe are five additional, undetonated explosive devices in Boston area.  http://t.co/ZEcT0dIa7y	RUMOR
131	BostonBombings	RIP to the 8 year old girl who was running the Boston Marathon for the Sandy Hook kids.  #prayforboston http://t.co/cpkamDUcsV	RUMOR
132	BostonBombings	DEVELOPING:  Officials found what they believe are 5 additional, undetonated explosive devices in Boston area - @wsj http://t.co/aK1ouHjlpE	RUMOR
133	BostonBombings	No words really RT @WSJ Breaking: Officials found what they believe are five additional, undetonated explosive devices in Boston area.	RUMOR
134	BostonBombings	Officials Reportedly Find Five More Undetonated Explosive Devices in Boston Area.	RUMOR
135	BostonBombings	MT @wsj: Breaking: Officials found what they believe are 5 additional, undetonated explosive devices in Boston area http://t.co/iYS07ihOAd	RUMOR
136	BostonBombings	Five More Explosive Devices Found in Boston http://t.co/WKrCPkpCC5	RUMOR
137	BostonBombings	DEVELOPING:  Officials found what they believe are 5 additional, undetonated explosive devices in Boston area - @wsj http://t.co/kQ0onWzbSi	RUMOR
138	BostonBombings	Scary stuff RT @wsj Officials found what they believe are 5 additional, undetonated explosive devices in Boston area http://t.co/nMq1QLqLy8	RUMOR
139	BostonBombings	Counter terrorism officials find five additional undetonated explosive devices in Boston http://t.co/BbDZAruHwA via @WSJ	RUMOR
140	BostonBombings	RIP 2 the 8 yearold girl who died in Boston's explosions, while running for the Sandy Hook kids. http://t.co/qkojPH1Cm7”THIS IS WAT KILLS ME	RUMOR
141	BostonBombings	RIP to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids #prayforboston http://t.co/KeMrmEWjEN	RUMOR
142	BostonBombings	oh my RT @WSJ: Officials found what they believe are 5 additional, undetonated explosive devices in Boston area. http://t.co/lUr5ZBp9u7	RUMOR
143	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/PP4I8QKRNa”	RUMOR
144	BostonBombings	what the… 5 more?! RT@WSJ: Officials found what they believe r 5 additional, undetonated explosive devices in Boston http://t.co/6W8Tq7m4pE	RUMOR
145	BostonBombings	Counterterrorism officials found what they believe to be five additional, undetonated explosive devices around the Boston area.	RUMOR
146	BostonBombings	Officials found what they believe are five additional, undetonated explosive devices in #Boston area #BostonMarathon	RUMOR
147	BostonBombings	Report: Officials have found what they believe to be five additional, undetonated explosive devices around Boston. http://t.co/3ejjB64Sqe	RUMOR
148	BostonBombings	RIP to the 8 year old girl who died in the Boston explosion while running for sandy hook kids RETWEET FOR RESPECT http://t.co/PcGCERdctt	RUMOR
149	BostonBombings	Oh my! MT @WSJ: Officials found what they believe are five additional, undetonated explosive devices in Boston area.  http://t.co/P3acE9eXjv	RUMOR
150	BostonBombings	R.I.P. to the 8 year-old boy who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/3glz5iY2Zq	RUMOR
151	BostonBombings	RIP to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston	RUMOR
152	BostonBombings	R.I.P. to the 8 year-old boy who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/e0QsPZWC0X	RUMOR
153	BostonBombings	WSJ: Five undetonated explosive devices found in Boston area http://t.co/fuje5tDROy	RUMOR
154	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids #PrayForBoston http://t.co/hFAIz0I6i3	RUMOR
155	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/asJOAAqoto	RUMOR
156	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/wNfDD4Vvna.	RUMOR
157	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosion, while running for the Sandy Hook kids. #prayforboston http://t.co/plCvZ1CzU1	RUMOR
158	BostonBombings	RIP to 8 year old girl who died in Boston Marathon violence while running for Sandy Hook Kids: https://t.co/g2QHK6I1Qv	RUMOR
159	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosion, while running for the Sandy Hook kids. #prayforboston http://t.co/YJjTo57LOO	RUMOR
160	BostonBombings	A beautiful 8 year old little girl died today running in the marathon for the Sandy Hook elementary school kids, so so sad #prayforboston	RUMOR
161	BostonBombings	R.I.P to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/iC2yA6Ffa3”😭	RUMOR
162	BostonBombings	R.I.P. To The 8 Year-Old Girl Who Died In Boston's Explosions, While Running For The Sandy Hook Kids. #PrayForBoston http://t.co/X0Xqj8wk8I	RUMOR
163	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/0e7HCtG98W	RUMOR
164	BostonBombings	I'm really disappointed. An 8 year old boy dreamed of finishing the Boston Marathon and was killed right before he crossed the finish line.	RUMOR
165	BostonBombings	"RIP to the 8 year old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/kWVtxNTVxo "	RUMOR
166	BostonBombings	Lord bless her soul, poor baby was killed in the Boston Marathon while running for the Sandy Hooks kids http://t.co/t4tEa1FVIm	RUMOR
167	BostonBombings	An 8 year old girl died at the Boston Marathon today because she was running for the Sandy Hook kids... What has this world come to?	RUMOR
168	BostonBombings	Westboro Baptist Church Plans To Picket Funerals Of Boston Marathon Victims - http://t.co/4b7lqzL7Gu #BostonMarathon #WBCPickets	RUMOR
