ID	Target	Tweet	Veracity
100001	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/jI0F4ly0lh"	UNKNOWN
100002	BostonBombings	One of the dead was a little boy who'd just run out to hug his dad, who'd just finished the marathon. His mom lost her legs. #boston	UNKNOWN
100003	BostonBombings	A 5 year old boy dies waiting to see his dad finish the marathon - just awful!! #Boston	UNKNOWN
100004	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/ZmTdHzbZ1E	UNKNOWN
100005	BostonBombings	Family Guy: Boston Marathon Bombing http://t.co/LZ3ShBD4Du	UNKNOWN
100006	BostonBombings	THE WESTBORO BAPTIST CHURCH IS PLANNING TO PICKET THE FUNERALS OF THOSE THAT DIED IN THE BOSTON BOMBING YOU'RE A PIECE OF SHIT	UNKNOWN
100007	BostonBombings	Westboro Baptist Church picketing the funerals of the Boston victims, saying God sent the bombs as revenge against gay marriage. Im furious.	UNKNOWN
100008	BostonBombings	The 8 year old boy who tragically lost his life in Boston yesterday has been named as Martin Richard, who was there to watch his dad run.	UNKNOWN
100009	BostonBombings	An 8 year old boy died today at the hospital due to the Boston explosions. The boy was waiting for his dad to finish the marathon.	UNKNOWN
100010	BostonBombings	Little girl who died in Boston's explosions, while running for Sandy Hook kids #PrayForBoston http://t.co/yNBuXjWACJ"	UNKNOWN
100011	BostonBombings	The little 8 year old boy who died was waiting for his dad at the finish line omg :'(( #prayforboston	UNKNOWN
100012	BostonBombings	The 8yo boy killed in the Boston bomb blasts was waiting for his dad to finish the marathon. His mum &amp; sister are critical. #NewsRoom	UNKNOWN
100013	BostonBombings	R.I.P. to the 8 yearold girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/0Qr6Jyk5BJ	UNKNOWN
100014	BostonBombings	BOSTON BOMBINGS: boy who was killed hugged his father who just finished the race then rejoined his mom on the sidewalk. then the explosion.	UNKNOWN
100015	BostonBombings	#R.I.P to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids #prayforboston http://t.co/yPyNkvuF1q	UNKNOWN
100016	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/oCmhAsUSUf	UNKNOWN
100017	BostonBombings	An 8 year old boy who was cheering his dad died today in Boston. #heartbreak #hinews	UNKNOWN
100018	BostonBombings	RT @HopeForBoston: R.I.P. to the 8 year-old boy who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http:	UNKNOWN
100019	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/Sz8Kwv9bj2	UNKNOWN
100020	BostonBombings	An 8 year old boy, Martin Richard, was killed at the Boston Marathon as he waited to give his father a hug at the finish line #prayforboston	UNKNOWN
100021	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/XYUmDAAxTR	UNKNOWN
100022	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids.  #prayforboston http://t.co/EkQ6DTs3db	UNKNOWN
100023	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/RPEWvZULCW	UNKNOWN
100024	BostonBombings	8 year-old killed at the explosion at the #BostonMarathon has been identified as Martin Richard. http://t.co/4Nqbh2d0jc via @JenelleS_KVUE	UNKNOWN
100025	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/cEdmDu7EoO	UNKNOWN
100026	BostonBombings	An 8 year old kid died while waiting for his dad to finish the race and to hug him. #prayforboston #bostonmarathonbombing	UNKNOWN
100027	BostonBombings	Boy, 8, killed in Boston marathon blast was waiting to meet his dad when he finished #JuiceFM	UNKNOWN
100028	BostonBombings	Poor kid .. RT @ICE__Gang: #prayforboston An 8 year old kid died while waiting for his dad to finish the race and to hug him :"""(	UNKNOWN
100029	BostonBombings	R.I.P. to 8 year-old boy who died in Boston's explosions, while running for the Sandy Hook kids. http://t.co/zDyC5VZwQO via @HopeForBoston	UNKNOWN
100030	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. Tragic moment http://t.co/qzLfYs8piU	UNKNOWN
100031	BostonBombings	8 yr old boy who went to receive his dad at finishing line in Boston killed by bomb. His little sisters limbs blown off via BBC	UNKNOWN
100032	BostonBombings	R.I.P. to the 8 yr old boy who died in Boston's explosions, while running for the Sandy Hook kids. #PrayForBoston http://t.co/5Dav0lauxn	UNKNOWN
100033	BostonBombings	“@DanielleFacts: 8 yr old boy who died in Boston's explosions, running for the Sandy Hook kids. #PrayForBoston http://t.co/zGngVQCjsm” FAKE	UNKNOWN
100034	BostonBombings	Westboro BC vows to picket the funerals of those killed at Boston Marathon. @YourAnonNews responds immediately http://t.co/6gcc08sI5A	UNKNOWN
100035	BostonBombings	Westboro Baptist Church Plans To Picket Funerals Of Boston Marathon Victims http://t.co/oNMilfqKaI #OpWBC b/c @dearshirley is still	UNKNOWN
100036	BostonBombings	R.I.P. to the 8 year old girl who died in the Boston explosion while running for the Sandy Hook kids #prayforboston http://t.co/mg1Aob6TTZ	UNKNOWN
100037	BostonBombings	R.I.P. to the 8 year-old boy who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/7rKs3A0OuV”	UNKNOWN
100038	BostonBombings	Westboro Baptist Church to picket funerals of victims of the Boston Marathon http://t.co/gk6p7nFKCy via @examinercom	UNKNOWN
100039	BostonBombings	An 8 year old girl died yesterday in the Boston bombing, she was running for sandy hook kids... What is humanity coming too. #PrayForBoston	UNKNOWN
100040	BostonBombings	Professional trolls, the Westboro Baptist Church, have announced they'll be picketing the funerals of the 3 killed in the Boston attacks.	UNKNOWN
100041	BostonBombings	Suspected Boston bomber has the same rights as any American even though he's here on a student visa. There is something really wrong here...	UNKNOWN
100042	BostonBombings	Boston Globe reporting that the mom &amp; sister of the 8-yr-old boy killed, Martin Richard, are also badly injured. #Prayers	UNKNOWN
100043	BostonBombings	Heartbreaking reports: 8 yo Martin Richard killed in Boston. Mom has brain injury, sister lost a leg. Dad was racing http://t.co/AoMYZTP1mR	UNKNOWN
100044	BostonBombings	One 8-year Old kid was Dead during Boston Attack! He came to see his father run for the Marathon. Gaves his father a Hug &amp; Dies :(	UNKNOWN
100045	BostonBombings	Mother of Martin Richard, 8 yr old boy killed in the blasts has a brain injury; boy's sister has lost a leg. #PrayForBoston	UNKNOWN
100046	BostonBombings	RT @fuccyoudis2o9: R.I.P to the 8 year old girl who died in Boston's explosions, while running for Sandy Hook kids &gt;:/ #PrayForBoston...	UNKNOWN
100047	BostonBombings	“@lovebrittannny: R.I.P. to the 8 year-old girl who died in Boston's explosions while running for the Sandy Hook kids.http://t.co/BTt4MfncW3	UNKNOWN
100048	BostonBombings	Boston- Martin Richard 8 killed at the Marathon, he loved sports. His Mom has a brain injury, sister lost a leg. http://t.co/LnYsbxju80	UNKNOWN
100049	BostonBombings	Terror at the Boston Marathon http://t.co/96E4yCJt8E #photojournalism	UNKNOWN
100050	BostonBombings	What a horrifying tragedy, my gosh.... There are no words. #PrayForBoston :( :( :( :(	UNKNOWN
100051	BostonBombings	I offer my deepest condolences to the families of the victims in Boston  #Boston	UNKNOWN
100052	BostonBombings	Are we ever going to rise above all of this violence on our planet? #prayforboston #prayforpeace	UNKNOWN
100053	BostonBombings	I got to know a lot of people in Boston when I was there Filming "that's my boy"during the Stanley Cup finals. great city, great people,	UNKNOWN
100054	BostonBombings	My thoughts are with everyone effected by today's tragedy in Boston. God Bless.	UNKNOWN
100055	BostonBombings	Before u all go 2 bed i really want 2 say huge THANK U! You made my 13th bday the best day ever! Reading all ur messages now! #PrayforBoston	UNKNOWN
100056	BostonBombings	Tonight, we all have Boston's back. #WeAreBoston http://t.co/2bI69vAN1H	UNKNOWN
100057	BostonBombings	I'm in Boston reporting for the Guardian. Can anyone help me reach #carlosarredondo to talk to him about his amazing act of bravery?	UNKNOWN
100058	BostonBombings	My thoughts are with everyone in Boston x	UNKNOWN
100059	BostonBombings	my heart hurts for all the sweet people injured in Boston today, and all I can do is pray and pray and pray and pray and pray some more.	UNKNOWN
100060	BostonBombings	@KerryWSB hope ur in bed!  #EarlyMorning #Boston #Prayers	UNKNOWN
100061	BostonBombings	Beautiful piece on the horrific tragedy.. http://t.co/eIdtMKocym	UNKNOWN
100062	BostonBombings	Sending love out to all our Twitter fam &amp; Boston fam once again - we love you guys so much	UNKNOWN
100063	BostonBombings	#prayforboston the world is so crazy these days.. #stopthecraziness #peace #love  Mikey😘	UNKNOWN
100064	BostonBombings	For Boston, and for hope. http://t.co/A4MimZbNDw	UNKNOWN
100065	BostonBombings	i love you BOSTON !!!&lt;33	UNKNOWN
100066	BostonBombings	My heart and prayers go out to Boston.	UNKNOWN
100067	BostonBombings	Praying for Boston tonight... and for all of the families in America.... http://t.co/2eSngrqIbe	UNKNOWN
100068	BostonBombings	Sending out love to #Boston - city of my birth.  You will be avenged.	UNKNOWN
100069	BostonBombings	Sending out prayers to everyone in Boston and our Blue Army. Deepest sympathies to those who lost family members n those with injuries.	UNKNOWN
100070	BostonBombings	#Boston I love you and I'm thinking of you.	UNKNOWN
100071	BostonBombings	Large police presence in Revere connected to Boston bombing http://t.co/GdqdelQ4jb #fox25	UNKNOWN
100072	BostonBombings	My heart goes out to the people of Boston today. Terrible terrible tragedy.	UNKNOWN
100073	BostonBombings	Two if by Sorrow: Boston and Its Losses http://t.co/PDSDiephEW	UNKNOWN
100074	BostonBombings	Im so sad for Boston.. I don't really know anyone that lives there.. but I'm just so sad	UNKNOWN
100075	BostonBombings	Thanx for the bday love. Much appreciated. Gracias por las felicidades. Muy agradecido. Especially in light of Boston tragedy. Prayers 4 all	UNKNOWN
100076	BostonBombings	My thoughts and prayers go out to all back in Boston.	UNKNOWN
100077	BostonBombings	No words can describe what I feel tonight for the city that I love. Goodnight #Boston.	UNKNOWN
100078	BostonBombings	This is seriously heartbreaking. #PrayForBoston http://t.co/gdi78zwuIg	UNKNOWN
100079	BostonBombings	I'm so saddened by what's happened in Boston. My thoughts and prayers go out to the victims and families affected. #prayforboston GN.	UNKNOWN
100080	BostonBombings	Only on radio for one hour tomorrow.  Will discuss Boston at 9am.  Center on Him and His work and the rest will come.  Amen and goodnight.	UNKNOWN
100081	BostonBombings	FBI takes charge of Boston Marathon investigation http://t.co/pqlIsZ9SKo	UNKNOWN
100082	BostonBombings	Boston needs our prayers. This make me so sad. http://t.co/6fYR4z8prl	UNKNOWN
100083	BostonBombings	2nd this. RT @richarddeitsch If you are a parent, you will appreciate what @SteveRushin wrote tonight about Boston: http://t.co/y27QKPlrJP …	UNKNOWN
100084	BostonBombings	Sending love to everyone in Boston right now 💚 good night everyone	UNKNOWN
100085	BostonBombings	An evening of @WWE entertainment, overshadowed by an afternoon of horrible tragedy #PrayForBoston	UNKNOWN
100086	BostonBombings	This is so hard for me to read 😥 #prayforboston ❤ http://t.co/Doqnbl03Vs	UNKNOWN
100087	BostonBombings	President Obama offers cautious response to Boston bomb blasts | http://t.co/GtqyhoVjfp (via @TIMEPolitics)	UNKNOWN
100088	BostonBombings	#PrayForBoston everythings gonna be alright, we will be stronger	UNKNOWN
100089	BostonBombings	First edition of tomorrow morning's Boston Globe. http://t.co/mxll4akHC3	UNKNOWN
100090	BostonBombings	Pray for Boston. Pray for our Nation!	UNKNOWN
100091	BostonBombings	You've got to be an idiot to do anythig that makes the city of Boston mad at you. Boston, I salute you.	UNKNOWN
100092	BostonBombings	All my love for Boston in this hard time. Todo mi Amor a Boston en este tiempo tan duro.	UNKNOWN
100093	BostonBombings	Do Yo Azz Lk Dem HottBoyz Did Boston	UNKNOWN
100094	BostonBombings	My heart aches for the people of Boston.	UNKNOWN
100095	BostonBombings	amen RT @DomenicaMary: To Boston from Brooklyn with love http://t.co/DIeZK5dL4i	UNKNOWN
100096	BostonBombings	for sure...sent! RT @HeatherPort2012: @johncusack send some love out to Boston tonight :o(	UNKNOWN
100097	BostonBombings	My heart goes out to the people of Boston	UNKNOWN
100098	BostonBombings	Dear God, May the next person who wants to make a point do so by inspiring change instead of using violence.  #MyPrayerToday #PrayforBoston	UNKNOWN
100099	BostonBombings	RT @nxthompson: The Boston Globe slideshow is intense. http://t.co/heCbm8eKNf	UNKNOWN
100100	BostonBombings	My heart is breaking. #prayforboston http://t.co/vx3ph9LxLC	UNKNOWN
100101	BostonBombings	He lost his Girlfriend..#PrayForBoston, PRAY! http://t.co/ogEVlQftgq	UNKNOWN
100102	BostonBombings	Everyone should do this, retweet to spread the word! #prayforboston #BostonMarathon http://t.co/8MjXVhHsHw	UNKNOWN
100103	BostonBombings	Boston. I'm sending you ALL my love.	UNKNOWN
100104	BostonBombings	I will DONATE $100 for EVERY pass I catch next season to whatever "Boston Marathon Relief Fund" there is. And $200 for any dropped pass.	UNKNOWN
100105	BostonBombings	my prayers are going out 2 all the victims and their families in boston #prayforboston	UNKNOWN
100106	BostonBombings	1st-year #Patriots WR @DannyAmendola pledges to donate $100 for each '13 reception to Boston Marathon Relief Fund &amp; $200 for each drop.	UNKNOWN
100107	BostonBombings	Love you #Boston. Goodnight.	UNKNOWN
100108	BostonBombings	Praying for everyone in #boston	UNKNOWN
100109	BostonBombings	Pray for Boston:(	UNKNOWN
100110	BostonBombings	Moments of silence for #Boston in Montreal: http://t.co/HzZ8R0Knb4 Nashville: http://t.co/YuRGT3ErJO Chicago: http://t.co/Ml5MbjztVY ..(1/2)	UNKNOWN
100111	BostonBombings	Makes me sick #prayforboston	UNKNOWN
100112	BostonBombings	My heart breaks for the families of the people who lost their lives today in Boston. My prayers go out to those who were injured.	UNKNOWN
100113	BostonBombings	My heartfelt condolences to my Boston people and to the families of the victims who were affected by this tragedy #Prayers	UNKNOWN
100114	BostonBombings	God Bless them. #prayforboston	UNKNOWN
100115	BostonBombings	Whoever did this to Boston :         FUCK YOU	UNKNOWN
100116	BostonBombings	My thoughts &amp; prayers go out to everyone in Boston. #prayforboston	UNKNOWN
100117	BostonBombings	Just watching the news about Boston  #prayforboston	UNKNOWN
100118	BostonBombings	PRAY FOR BOSTON. http://t.co/P8mvVCyJI2	UNKNOWN
100119	BostonBombings	PRAY FOR BOSTON. http://t.co/5JYRm1byIa	UNKNOWN
100120	BostonBombings	I ran the Boston Marathon &amp; remember crossing the finish line &amp; the thousands of people there.. Can't imagine the tragedy today. Prayers 617	UNKNOWN
100121	BostonBombings	The cowboy hat-wearing hero of the Boston bombings is a peace activist with an amazing and tragic history. http://t.co/9PhRi4ipbN	UNKNOWN
100122	BostonBombings	I can't go to sleep..my heart is so heavy for Boston..such sadness..I'm praying. #prayforBoston	UNKNOWN
100123	BostonBombings	MIM rejoice over Boston terror strike. Owaisi ally of Cong in Hyd municipal body. Secular enough for Sonia? And Nitish?	UNKNOWN
100124	BostonBombings	WTF?!? I skip Twitter pretty much all day and when I check in there's been a bombing in Boston?!?!? #WTF?!?!? #Shocked	UNKNOWN
100125	BostonBombings	Goodnight Boston. The world is watching. You will become stronger from this. I'm proud to have started… http://t.co/NcIvStxO3B	UNKNOWN
100126	BostonBombings	The cowboy hat-wearing hero of the Boston bombings is a peace activist w/ an amazing and tragic history. http://t.co/6Qj8nlcc1Y via @Gawker	UNKNOWN
100127	BostonBombings	Pakistanis on twitter are usually not as upset about bombings in Pakistan as they are about Boston.	UNKNOWN
100128	BostonBombings	Heavenly Father, we know it is not your will to destroy, but you do have the power to heal and restore. We ask 4 compassion &amp; love 4 Boston.	UNKNOWN
100129	BostonBombings	A very sad day for all in Boston love and prayers go out to everyone involved. Safe travel home to our fellow Aussies. With Love💐	UNKNOWN
100130	BostonBombings	Disappointed about the loss tonight but its all about perspective. #prayforboston	UNKNOWN
100131	BostonBombings	Malaysian marathoner misses Boston bomb blast by 30 minutes http://t.co/vruwc4Jdpb	UNKNOWN
100132	BostonBombings	My love and prayers to the people of Boston  http://t.co/UOM48mht9s	UNKNOWN
100133	BostonBombings	this is so heartbreking im crying :( #prayforboston #bostonmarathon why does this happen in a world like this ? http://t.co/jSl4hLYmAL	UNKNOWN
100134	BostonBombings	Boston. We are all praying for you.	UNKNOWN
100135	BostonBombings	141 injured 3 dead includining an  8 year old boy,!!!!  In Boston,,!!!!!!! WHY,??????!!!!!!!! It's really fuked up,!!!!	UNKNOWN
100136	BostonBombings	Harry deleted his "ahhhhhh Monday" tweet because he got hate for not tweeting anything about Boston (via @WW1DUpdater)	UNKNOWN
