ID	Target	Tweet	Veracity
1	BostonBombings	Two explosions at Boston marathon finish line	RUMOR
2	BostonBombings	2 explosions at Boston marathon finish line http://t.co/EILgHRLrSf	RUMOR
3	BostonBombings	#BOSTON SCANNER: Police now saying get on social media, tell people to stay away from JFK Library. #Bostonbomb LISTEN http://t.co/1PYPAVLwnE	RUMOR
4	BostonBombings	There's now a fire at the JFK Library. Jesus. http://t.co/qjlg9nd59c #bostonmarathon #boston http://t.co/HO1FQVCwjz	RUMOR
5	BostonBombings	HORROR EN BOSTON: Officials / There will be a controlled explosion opposite the library within one minute as part of bomb squad activities.	RUMOR
6	BostonBombings	Confirmed explosion at the JFK library - third explosion #Boston	RUMOR
7	BostonBombings	#BREAKING: 2 more explosives being dismantled at Boston Marathon http://t.co/AuYHZn3AQr	RUMOR
8	BostonBombings	MORE: US official: 2 more explosives found at Boston marathon: http://t.co/KBDxuuE4kQ -CC	RUMOR
9	BostonBombings	BREAKING: @AP reports 2 more explosive devices found at Boston Marathon, being dismantled http://t.co/YYi01uQqBJ	RUMOR
10	BostonBombings	Officials investigating Boston Marathon explosions report finding what they believe are unexploded devices: http://t.co/rCfe7P4JyR	RUMOR
11	BostonBombings	Boston police confirms another explosion at JFK Library #breaking	RUMOR
12	BostonBombings	RT @ReutersUS: Boston police confirms another explosion at JFK Library #breaking	RUMOR
13	BostonBombings	Boston police confirms another explosion at JFK Library	RUMOR
14	BostonBombings	RT @ReutersUS: Boston police confirms another explosion at JFK Library #breaking	RUMOR
15	BostonBombings	RT @reutersus: Boston police confirms another explosion at JFK Library #breaking	RUMOR
16	BostonBombings	Breaking: Boston police confirm another explosion at JFK Library http://t.co/GBXkQSsuzI	RUMOR
17	BostonBombings	Attn: Another explosion at the JFK Library. #Boston	RUMOR
18	BostonBombings	A fire broke out inside a mechanical room at the JFK Library on Moments after the Boston Marathon explosions but not related.	RUMOR
19	BostonBombings	Really? RT @ReutersUS: Boston police confirms another explosion at JFK Library #breaking	RUMOR
20	BostonBombings	RT @ReutersUS: Boston police confirms another explosion at JFK Library #breaking	RUMOR
21	BostonBombings	RT @ReutersUS: Boston police confirms another explosion at JFK Library #breaking	RUMOR
22	BostonBombings	RT @ReutersUS: Boston police confirms another explosion at JFK Library #breaking	RUMOR
23	BostonBombings	2 more explosive devices found by law enforcement at Boston Marathon. #prayforboston	RUMOR
24	BostonBombings	Reuters: #Boston police confirm third explosion at JFK library	RUMOR
25	BostonBombings	News: Boston police confirm another explosion at JFK Library. #prayforboston	RUMOR
26	BostonBombings	RT @ReutersUS: Boston police confirms another explosion at JFK Library #breaking	RUMOR
27	BostonBombings	UPDATE: 2 more explosive devices found at Boston Marathon; being dismantled by officials	RUMOR
28	BostonBombings	Boston police confirms another explosion at JFK Library. via @Reuters	RUMOR
29	BostonBombings	Boston Police confirm another explosion at JFK library: http://t.co/MX3q8YyPSs	RUMOR
30	BostonBombings	#Breaking  Two more explosive devices found at Boston Marathon; being  dismantled ... more at http://t.co/QjJo0bleXl	RUMOR
31	BostonBombings	Reports: Boston Marathon bombing suspect in custody? http://t.co/oPm6jZkE2M	RUMOR
32	BostonBombings	Boston police confirm another explosion at the JFK library. #boston	RUMOR
33	BostonBombings	Google has a person finder up for the #boston explosions http://t.co/Hmfg3yamvj	RUMOR
34	BostonBombings	Ed Davis, Boston Police Commissioner: There has been a third incident. An explosion at the JFK library. This is ongoing event.	RUMOR
35	BostonBombings	Boston Police say third incident: explosion at JFK Library.	RUMOR
36	BostonBombings	Boston police confirm 3rd explosion at JFK Library #BreakingNews	RUMOR
37	BostonBombings	There's now a fire at JFK library in #boston.  http://t.co/j1lUn9BYlD http://t.co/JU3tpDKo1q	RUMOR
38	BostonBombings	BREAKING: Third explosion reported at the JFK Library #Boston	RUMOR
39	BostonBombings	BOSTON POLICE CONFIRMS EXPLOSION AT JFK LIBRARY	RUMOR
40	BostonBombings	#Boston police commissioner: THIRD explosion at #JFK Library  #USA	RUMOR
41	BostonBombings	Looks like another bomb went off at JFK library in Boston	RUMOR
42	BostonBombings	Ed Davis, Boston Police Commissioner, confirms there was a third explosion at JFK Library.  http://t.co/qvOQPD1KNG	RUMOR
43	BostonBombings	Boston Police Commissioner: 3rd blast confirmed at JFK Library. #prayforboston	RUMOR
44	BostonBombings	BREAKING: Boston police commissioner: 3rd explosion at JFK Library	RUMOR
45	BostonBombings	Google created a person finder in the aftermath of #BostonMarathon explosions: http://t.co/rgLJY1rEh2	RUMOR
46	BostonBombings	AP: Cell phone service has been shut down in Boston to prevent any remote detonation.	RUMOR
47	BostonBombings	Third Explosion in Boston reported at JFK library.	RUMOR
48	BostonBombings	Wow. Boston police commissioner confirms a 3rd explosion at JFK Library	RUMOR
49	BostonBombings	Boston police commissioner: 3rd explosion at JFK Library. (via @ap) #BostonMarathon	RUMOR
50	BostonBombings	Google has launched a "people finder" to assist people affected by the Boston explosions. #cbc http://t.co/P7ncYR2nnQ	RUMOR
51	BostonBombings	BREAKING: Boston police commissioner: 3rd explosion at JFK Library, AP reports #bostonmarathon	RUMOR
52	BostonBombings	Boston police commissioner confirms third explosion at JFK Library; unclear whether related to Boston Marathon http://t.co/aaXwyCHk3A	RUMOR
53	BostonBombings	NewsAlert: Boston police commissioner: 3rd explosion at #Boston JFK Library (from @AP)	RUMOR
54	BostonBombings	Boston Marathon bombing suspect believed to be in custody http://t.co/3rBuwAnMiV	RUMOR
55	BostonBombings	BREAKING: Boston police commissioner: 3rd explosion at JFK Library / via #AP	RUMOR
56	BostonBombings	BREAKING: Boston police commissioner: 3rd explosion at JFK Library / via #AP	RUMOR
57	BostonBombings	Boston police commissioner says he believes 3rd blast at JFK Library is related to marathon explosions. Next briefing at 7 p.m.	RUMOR
58	BostonBombings	“@AWilsonABC11: Boston police commissioner: "There has been a 3rd explosion at JFK Library." #ABC11 http://t.co/qdVFGQYnxY”	RUMOR
59	BostonBombings	(AP) -- Boston police commissioner: 3rd explosion at JFK Library.	RUMOR
60	BostonBombings	Boston police report explosion at JFK library http://t.co/BhW3lzI7Ag	RUMOR
61	BostonBombings	3rd explosion in #Boston, this time at JFK Library. http://t.co/myEqEdiTUp	RUMOR
62	BostonBombings	Google have created a people finder for the #Boston explosions, leave messages for friends and family http://t.co/Jnepm9brAW	RUMOR
63	BostonBombings	Breaking: Boston police commissioner: 3rd explosion at JFK Library  http://t.co/EHpOeRNgcZ	RUMOR
64	BostonBombings	Boston police commissioner: 3rd explosion at JFK Library  http://t.co/q1hDDyJBdx	RUMOR
65	BostonBombings	Google has created a person finder for the Boston Marathon http://t.co/kd2yh52pjM	RUMOR
66	BostonBombings	Google has released a tool to help locate people affected by the Boston Marathon explosions http://t.co/R4X6pymugw	RUMOR
67	BostonBombings	Google has set up a person finder after #BostonMarathon explosions http://t.co/bgK4QDM4zJ	RUMOR
68	BostonBombings	Boston Police confirm a 3rd explosion at the JFK Library! http://t.co/XqAH5FEdrY #bostonmarathon	RUMOR
69	BostonBombings	Google has created a person finder for the Boston Marathon Explosions.  http://t.co/ONkvdBmV7r	RUMOR
70	BostonBombings	NBC News: Boston Police Commissioner confirms 3rd explosion at JFK Library in Boston #BostonMarathon	RUMOR
71	BostonBombings	.@WRKO680: Boston Police: No one injured at third explosion at JFK Library. #BostonBombing	RUMOR
72	BostonBombings	Google rolls out Person Finder for those affected by Boston Marathon explosions http://t.co/S26qrQC5Zm	RUMOR
73	BostonBombings	RT @BreakingNews: Google rolls out Person Finder for those affected by Boston Marathon explosions http://t.co/FqpWHrLPWJ	RUMOR
74	BostonBombings	@SailiPardeshi @nuaym_akbar 2 bombs have gone off at the Boston marathon	RUMOR
75	BostonBombings	#prayforboston a third bomb has gone off at the JFK library	RUMOR
76	BostonBombings	BREAKING: Westboro Baptist Church to picket funerals of those dead by Boston Bombs! GOD SENT THE BOMBS IN FURY OVER FAG MARRIAGE! #PraiseGod	RUMOR
77	BostonBombings	Google has created a Person Finder for those affected by the #BostonMarathon explosions. http://t.co/2AH3ysDJEh	RUMOR
78	BostonBombings	Boston police: 3rd explosion reported at library following marathon http://t.co/K5IAsjMd1s	RUMOR
79	BostonBombings	Google has created a Person Finder for the Boston Marathon Explosions http://t.co/nl2CVgW3Qj	RUMOR
80	BostonBombings	Boston Police Commissioner: Third incident, explosion that occurred at the JFK library, confirmed. http://t.co/xzodf0GPKG	RUMOR
81	BostonBombings	Google has created a people finder for the #BostonMarathon explosions. Check for loved ones here: http://t.co/IRPCSFk7Qp	RUMOR
82	BostonBombings	Google releases Person Finder tool for those affected by Boston Marathon explosions http://t.co/5IOLxIBLC0	RUMOR
83	BostonBombings	Google just created this PERSON FINDER tool for those affected by the #BostonMarathon today. http://t.co/AXqRTYOLDV	RUMOR
84	BostonBombings	Video: Boston police: Third explosion at library http://t.co/YrtBH35TrH	RUMOR
85	BostonBombings	Intelligence Officials Report Two More Explosive Devices Found At Boston Marathon  http://t.co/5L3Eq9XbCD	RUMOR
86	BostonBombings	Jesus... MT @WBCSays Westboro Baptist Church to picket funerals of those dead by Boston Bombs! GOD SENT THE BOMBS IN FURY OVER FAG MARRIAGE!	RUMOR
87	BostonBombings	Boston Police Commissioner Ed Davis reporting fire at JFK Library not related to Boston Marathon explosion.	RUMOR
88	BostonBombings	8 yr old child one of the dead ! #boston	RUMOR
89	BostonBombings	Video: Boston police: Third explosion at Library http://t.co/ikl6yEfBVk	RUMOR
90	BostonBombings	A 8 year old child one of the dead , my daughter is 8 years old this makes me sick to my stomach #boston	RUMOR
91	BostonBombings	i'm getting teary eyed... an 8 year old boy was one of the two people who've been confirmed dead... #prayforboston	RUMOR
92	BostonBombings	Google has launched a #BostonMarathon people finder for those worried about loved ones Spread the word http://t.co/pveSNFnGM0 #prayforboston	RUMOR
93	BostonBombings	The sick get sicker, @WBCFliers Westboro Baptist Church to picket funerals of those dead by Boston Bombs. Somebody stop these cowards.	RUMOR
94	BostonBombings	An 8 year old kid is dead from the bomb in Boston. He was waiting for his mom and dad to finish 😞	RUMOR
95	BostonBombings	Try it. I dare you. RT @WBCSays: BREAKING: Westboro Baptist Church to picket funerals of those dead by Boston Bombs!	RUMOR
96	BostonBombings	THAT 8 YEAR OLD GIRL IS NOT DEAD. THAT IS A SICK AND TWISTED RUMOR. THE ONLY DEATH WE KNOW IS AN 8 YEAR OLD BOY TRUST ME I LIVE IN BOSTON	RUMOR
97	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/DHEvhJb8fv	RUMOR
98	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/vCFuEijzN1	RUMOR
99	BostonBombings	RIP to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/yhDyrk8nOX	RUMOR
100	BostonBombings	R.I.P. 8 year-old girl died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/LwaRXXMRhk" &lt;/3”	RUMOR
101	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/lQR0rgLEQj	RUMOR
102	BostonBombings	Disgusting.. RT @WBCSays Westboro Baptist Church to picket funerals of those dead by Boston Bombs! GOD SENT BOMBS IN FURY OVER FAG MARRIAGE!	RUMOR
103	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/TrngKLcaoH	RUMOR
104	BostonBombings	My heart is breaking! :-( RT RIP to d 8yr old girl who died in Boston explosions, while running for d Sandy Hook kids http://t.co/OoAusFML9Z	RUMOR
105	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/epNz15KzhQ	RUMOR
106	BostonBombings	RT R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids.  http://t.co/wrh8rL8FFA	RUMOR
107	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/eNkHOOwbaT	RUMOR
108	BostonBombings	R.I.P to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. Omg Im crying http://t.co/FPz0tAdi5j	RUMOR
109	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/F7RruzXakl	RUMOR
110	BostonBombings	"@HopeForBoston: R.I.P. to 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. http://t.co/akYI1CYGYx"	RUMOR
111	BostonBombings	The 8 year old girl that died today in the Boston marathon bombing was running for the kids of sandy hook. That's fucking disgusting!	RUMOR
112	BostonBombings	Breaking: Officials found what they believe are five additional, undetonated explosive devices in Boston area.  http://t.co/EHpOeRNgcZ	RUMOR
113	BostonBombings	Officials found what they believe are five additional, undetonated explosive devices in Boston area.  http://t.co/q1hDDyJBdx	RUMOR
114	BostonBombings	Happy to announce that 1D World Boston is now open! Follow @1DWorldMerch for details! #1DWorldBoston 1DHQ x	NON-RUMOR
115	BostonBombings	Bomb at #Boston #marathon finish. http://t.co/6ppZ0Rxs3M	NON-RUMOR
116	BostonBombings	Very sad to hear the news coming out of Boston. Horrific. My thoughts and prayers to all those involved	NON-RUMOR
117	BostonBombings	Praying for everyone at the Boston Marathon.	NON-RUMOR
118	BostonBombings	Please reach out if you hear that @joeymcintyre is ok!!!!!  Please say a prayer for everyone in Boston!	NON-RUMOR
119	BostonBombings	Thoughts with everyone at the Boston Marathon.	NON-RUMOR
120	BostonBombings	Prayers to Boston right now.	NON-RUMOR
121	BostonBombings	Our thoughts are with everyone at the Boston Marathon today.	NON-RUMOR
122	BostonBombings	Sending prayers to Boston.	NON-RUMOR
123	BostonBombings	My thoughts are with Boston. One of my favorite cities in the world. Stay strong &lt;3	NON-RUMOR
124	BostonBombings	Sending our thoughts and prayers to Boston. Praying all my friends and their loved ones are safe	NON-RUMOR
125	BostonBombings	Boston be strong.	NON-RUMOR
126	BostonBombings	We're sending our thoughts and prayers to everyone in Boston today #PrayForBoston	NON-RUMOR
127	BostonBombings	Thoughts are in Boston. #prayforboston	NON-RUMOR
128	BostonBombings	Praying for everyone in Boston. Really hope everyone is safe out there.	NON-RUMOR
129	BostonBombings	My thoughts and prayers are with everyone in Boston today.	NON-RUMOR
130	BostonBombings	Our prayers go out to everyone in Boston.  We all love you and we are praying for you	NON-RUMOR
131	BostonBombings	Thoughts &amp; Prayers go out to the people of Boston... Very Sad News.	NON-RUMOR
132	BostonBombings	Sending prayers out for Boston	NON-RUMOR
133	BostonBombings	Prayers go out to everyone in Boston right now!	NON-RUMOR
134	BostonBombings	OMG! So tragic! Be strong Boston... My love thoughts and prayers are all coming your way...	NON-RUMOR
135	BostonBombings	Sending my thoughts and prayers to everyone in Boston right now....	NON-RUMOR
136	BostonBombings	I hope everyone in Boston is okay...   http://t.co/baG9Ni2yM1	NON-RUMOR
137	BostonBombings	#Prayforboston this photo says it all http://t.co/rIX1Qgi4kY	NON-RUMOR
138	BostonBombings	Our thoughts and prayers go out to everyone in the great city of Boston right now. #staysafe	NON-RUMOR
139	BostonBombings	Sending prayers to the beautiful city of Boston! We are with you! Enviando oraciones a la bella ciudad de Boston! Estamos con ustedes!	NON-RUMOR
140	BostonBombings	Prayers. For. Boston. 🙏	NON-RUMOR
141	BostonBombings	prayers go out to everyone in Boston.  We all love you and we are praying for you	NON-RUMOR
142	BostonBombings	Thoughts and prayers are with those in Boston today.	NON-RUMOR
143	BostonBombings	just heard about boston, I hate hearing about things like this, makes me sad. #prayforboston	NON-RUMOR
144	BostonBombings	Terrible tragedy in Boston today. So sad &amp; scary. My thoughts &amp; prayers are with everyone there. 🙏❤	NON-RUMOR
145	BostonBombings	Boston. Love and prayers.	NON-RUMOR
146	BostonBombings	Wow. Boston. You're in my prayers. What is this world coming to?!! 😔	NON-RUMOR
147	BostonBombings	@Pink Thank you for your support! Here's how people can donate blood: http://t.co/67lxt3NERz #PrayForBoston	NON-RUMOR
148	BostonBombings	My heart and prayers go out to everyone at the Boston Marathon. I love you.	NON-RUMOR
149	BostonBombings	My prayers and thoughts go out to everyone in Boston	NON-RUMOR
150	BostonBombings	Shaken… My thoughts and prayers are with the city of Boston and those affected by this tragedy.	NON-RUMOR
151	BostonBombings	Sometimes people really suck. Love you, Boston--my hometown. "@brm90: Bomb at #Boston #marathon finish. http://t.co/wqRcQuMfHJ"	NON-RUMOR
152	BostonBombings	Boston my mind is on you	NON-RUMOR
153	BostonBombings	Sending prayers to Boston..	NON-RUMOR
154	BostonBombings	#prayforboston so horrible:(	NON-RUMOR
155	BostonBombings	The world is an evil place,but I watch first responders and can't help but smile and be proud to be an American #Godblessusa #prayforboston	NON-RUMOR
156	BostonBombings	“@_BostonMarathon: For every retweet we receive we will donate $1.00 to the #BostonMarathon victims #PrayForBoston” This is just horrific	NON-RUMOR
157	BostonBombings	I hope everyone in Boston are safe	NON-RUMOR
158	BostonBombings	Our thoughts and prayers are with everyone in Boston. #BostonMarathon	NON-RUMOR
159	BostonBombings	Prayers to everybody at Boston marathon 🙏🙏🙏	NON-RUMOR
160	BostonBombings	It's terrifying how evil some people can be. #PrayForBoston	NON-RUMOR
161	BostonBombings	#PrayForBoston My condolences to the victims and their families. I'm praying for them x	NON-RUMOR
162	BostonBombings	Things like this are something nobody should even have to worry about in the first place, so so sad. #PrayForBoston.	NON-RUMOR
163	BostonBombings	God bless Boston everyone #whatthehelliswrongwiththisworld	NON-RUMOR
164	BostonBombings	Praying for Boston...can't believe this	NON-RUMOR
165	BostonBombings	#prayforboston people are cunts i hate this planet	NON-RUMOR
166	BostonBombings	Praying for those at the boston marathon today	NON-RUMOR
167	BostonBombings	This world is a crazy and sick twisted place. Prayers go out to affected in Boston #prayforboston http://t.co/5Qab6nE8An	NON-RUMOR
168	BostonBombings	this is so devastating. #PrayForBoston http://t.co/0vUf2ryX1Y	NON-RUMOR
169	BostonBombings	So sad for Boston , my thoughts are with the victims	NON-RUMOR
170	BostonBombings	My thoughts and prayers are with everyone in the city of Boston and all of those affected by this terrible incident.	NON-RUMOR
171	BostonBombings	Our thoughts and prayers are with everyone affected by the tragedy in Boston today.	NON-RUMOR
172	BostonBombings	I am crying... #prayforboston http://t.co/3MtB8dURQk	NON-RUMOR
173	BostonBombings	God bless all people in boston and help all affected	NON-RUMOR
174	BostonBombings	Thoughts &amp; prayers go out to all affected by this terrible tragedy at the Boston Marathon. Very sad news.	NON-RUMOR
175	BostonBombings	I've spent a lot of time in Boston so it holds a special place in my heart...so my heart goes out to all affected by this tragedy.	NON-RUMOR
176	BostonBombings	Security increased in New York and Washington following the explosions at the Boston Marathon: http://t.co/e8r9yNNZKr	NON-RUMOR
177	BostonBombings	Smh hate when shit like this happens #PrayForBoston	NON-RUMOR
178	BostonBombings	sending love to boston	NON-RUMOR
179	BostonBombings	Tragedy should never follow triumph. Very sad day. My friends and I are all okay, thank you everyone for all your prayers and love. #boston	NON-RUMOR
180	BostonBombings	If you're in Boston and can donate blood: http://t.co/EP1FIHDS3s	NON-RUMOR
181	BostonBombings	Thoughts and prayers go out to victims of the Boston Marathon. #PrayForBoston	NON-RUMOR
182	BostonBombings	Praying and thinking of Boston	NON-RUMOR
183	BostonBombings	Our hearts are heavy with the news out of Boston today. #PrayforBoston	NON-RUMOR
184	BostonBombings	boston. 💔🙏	NON-RUMOR
185	BostonBombings	Thoughts &amp; prayers go out to Boston. #prayforboston	NON-RUMOR
186	BostonBombings	Hideous news in Boston... My heart goes out to the families... :( xxxx	NON-RUMOR
187	BostonBombings	At times like this it's easy to let your hate rise, this is a moment we must all reflect &amp; send nothing but love &amp; light to Boston.	NON-RUMOR
188	BostonBombings	#prayforboston thoughts are with you...	NON-RUMOR
189	BostonBombings	all love to boston.	NON-RUMOR
190	BostonBombings	Heartbroken for Boston. I don't understand...	NON-RUMOR
191	BostonBombings	What is happening to this world? #prayforboston http://t.co/8ze0mbB8ME	NON-RUMOR
192	BostonBombings	I just heard about Boston. My prayers are with you, and am deeply saddened, god bless everyone	NON-RUMOR
193	BostonBombings	She is an innocent person. Gosh.. What's wrong with this world. #prayforboston http://t.co/BOeSB7WGaB	NON-RUMOR
194	BostonBombings	IN BOSTON: He ran in dedication of the newtown kids and now he won't ever walk again #prayforboston http://t.co/NVfoPRk12Y	NON-RUMOR
195	BostonBombings	My prayers are with those in the Boston area 🙏	NON-RUMOR
